Name,id,lat,long
Pääskylahti,519,61.862291,28.924534
R060,98999,60.743504,24.786983
R530,99994,64.606205,25.021967
R660,98997,60.415815,25.115166
R702,98998,60.759175,24.784822
R855,98991,63.592508,22.777103
Raahe,335,64.683364,24.490632
Raide934,99998,64.362961,28.100614
Raippo,490,60.912094,28.10607
Raisio,125,60.485475,22.130194
Rajamäki,88,60.532706,24.761636
Rajaperkiä,1220,63.036254,23.013344
Rantasalmi,524,62.014348,28.276594
Rasinsuo,1222,60.97619,27.892136
Ratikylä,596,62.245426,23.011184
Rauha,501,61.178295,28.687578
Rauhalahti,1225,62.239957,25.801006
Rauma,165,61.132361,21.492431
Raunio,1227,63.171521,22.955164
Rautaruukki,750,64.658708,24.443464
Rautjärvi,506,61.300812,29.085136
Rautpohja,1232,62.232539,25.690392
Rekola,554,60.332871,25.068666
Retretti,793,61.803308,29.294294
Riihimäki Arolampi,1235,60.697135,24.818591
Riihimäki asema,40,60.736078,24.781241
Riihimäki lajittelu,1238,60.725385,24.792909
Riihimäki tavara,1240,60.714716,24.802312
Riijärvi,1327,63.465864,22.66527
Riippa,747,63.868454,23.637151
Ristiina,770,61.461611,27.264338
Ristijärvi,391,64.488355,28.18586
Rovaniemi,364,66.497675,25.705329
Ruha,742,62.887473,22.978534
Runni,886,63.602052,26.886487
Ruokosuo,1342,63.09744,27.740113
Ruukki,337,64.660373,25.0982
Ruusumäki,1338,60.31566,24.878314
Ryttylä,42,60.818048,24.758186
Räyttä,833,65.765795,24.162896
Saakoski,668,61.990369,25.410596
Saari,964,61.695058,29.660865
Saarijärvi,254,62.700076,25.283095
Salminen,405,62.676239,27.286121
Salo,55,60.384777,23.121448
Sammalisto,1246,60.763711,24.78372
Santala,827,59.875008,23.121052
Saunakallio,806,60.487305,25.065568
Saunamäki,1325,60.852337,26.519052
Savio,555,60.381296,25.097803
Savonlinna asema,521,61.8689,28.888266
Seinäjoki asema,280,62.792016,22.844217
Seinäjoki tavara,1252,62.784847,22.866289
Selänpää,539,61.007729,26.714088
Sieppijärvi,796,67.159514,23.867383
Sievi,319,63.978137,24.278697
Siikamäki,429,62.289158,27.40773
Siilinjärvi Asema,413,63.074953,27.666561
Simo,346,65.663135,25.060752
Simpele,507,61.424787,29.371696
Sipilä,1254,60.711122,25.420346
Sisättä,1257,61.838125,23.310976
Siuntio,576,60.140648,24.221671
Siuro,179,61.47445,23.33911
Skogby,817,59.926083,23.310799
Skäldvik,560,60.305964,25.481846
Soinlahti,422,63.634206,27.204458
Sorsasalo,870,62.953371,27.68315
Sukeva,424,63.864618,27.422313
Suolahti,251,62.561352,25.851545
Suonenjoki,404,62.623707,27.124495
Suoniemi,638,61.465246,23.210006
Syrjä,435,62.356168,28.366542
Syrjämäki,1265,62.756156,22.912391
Sysmäjärvi,912,62.716898,29.060797
Säkäniemi,918,62.317676,30.120915
Sänkimäki,872,63.151325,27.8662
Sääksjärvi,157,61.418654,23.752219
Taavetti,486,60.913077,27.559584
Tahkoluoto,702,61.635423,21.408136
Taipale,1268,63.459474,27.311786
Talviainen,1270,61.724742,24.658868
Talvivaara,1323,63.979513,27.994576
Tammisaari,76,59.979553,23.443501
Tampere asema,160,61.498236,23.773454
Tampere Järvensivu,1272,61.491461,23.785189
Tampere tavara,1273,61.469888,23.763974
Tampere Viinikka,1274,61.480331,23.773542
Tapanila,552,60.2639,25.030033
Tapavainola,1276,61.017354,28.08938
Tavastila,837,60.572959,26.954279
Tervajoki,294,63.000773,22.171462
Tervola,361,66.081811,24.772291
Teuva,271,62.474956,21.742287
Tikkala,916,62.364981,30.083633
Tikkaperä,1335,64.771091,25.291811
Tikkurila asema,18,60.292166,25.044055
Tohmajärvi,448,62.243484,30.356148
Toijala,150,61.170611,23.860905
Toivala,412,62.996029,27.723588
Tolsa,830,60.118558,24.472724
Tommola,1280,60.906703,25.492176
Torkkeli,1283,61.70059,24.548925
Tornio asema,351,65.845798,24.163844
Tornio-Itäinen,1318,65.850823,24.18508
Tornio-raja,678,65.827851,24.150733
Tuomarila,579,60.20605,24.681767
Tuomioja,336,64.608277,25.027911
Turenki,44,60.918387,24.63865
Turku asema,130,60.453985,22.252945
Turku satama,135,60.434245,22.226894
Turku tavara,1285,60.452001,22.240471
Tuupovaara,458,62.523103,30.558938
Tuuri,283,62.605349,23.722323
Tärmä,1287,65.89466,24.625744
Tärälä,1290,61.007817,27.99051
Uimaharju,465,62.912482,30.241497
Urjala,148,61.0635,23.626264
Utajärvi,376,64.758926,26.413565
Utti,484,60.877673,26.933289
Uusikaupunki,121,60.797364,21.425685
Uusikylä,105,60.927722,25.993966
Vaajakoski,245,62.247587,25.879324
Vaala,377,64.558015,26.842702
Vaarala,807,66.518098,25.8801
Vaasa,288,63.097786,21.621824
Vahojärvi,214,61.913026,23.232163
Vainikkala asema,492,60.863835,28.303201
Vainikkala tavara,1292,60.86817,28.285662
Vainikkala-raja,493,60.855474,28.337173
Valimo,847,60.222172,24.8758
Valkeakoski,153,61.273922,24.017075
Valkeasuo,450,62.304843,30.163977
Valtimo,475,63.686406,28.800862
Vammala,176,61.349519,22.887664
Vanattara,1295,61.370713,23.759537
Vantaankoski,839,60.285681,24.848271
Varkaus,432,62.312389,27.873415
Vartius,941,64.540163,29.94809
Vartius-raja,949,64.545906,29.989741
Vasikkahaka,1300,60.146114,24.524784
Vaskiluoto,291,63.089086,21.564228
Vehkala,1337,60.295054,24.843716
Venetmäki,428,62.309222,26.752862
Vesanka,239,62.269355,25.557151
Viekki,471,63.421549,29.61174
Vierumäki,112,61.101895,25.932868
Vihanti,334,64.48451,24.993624
Vihtari,438,62.380739,29.029282
Vihtavuori,248,62.373612,25.889739
Viiala,155,61.211787,23.770683
Viinijärvi,440,62.641687,29.237166
Viipuri,2000,60.379534,29.900653
Villähde,104,60.946379,25.833724
Vilppula,196,62.025888,24.506956
Vinnilä,1305,61.099944,24.110938
Virkamies,1339,60.310517,24.963318
Voltti,302,63.286164,22.824405
Vuohijärvi,541,61.095852,26.796227
Vuojoki,1310,61.179379,21.709937
Vuokatti,383,64.14752,28.273914
Vuonislahti,467,63.152636,29.99331
Vuonos,863,62.761232,29.08783
Vuosaari,1321,60.227507,25.167956
Värtsilä,2410,62.169947,30.660787
Ykspihlaja tavara,315,63.838554,23.083099
Ykspihlaja väliratapiha,1326,63.850442,23.058247
Ylistaro,296,62.917801,22.532729
Ylitornio,789,66.325333,23.683194
Ylivalli,654,62.402105,22.958844
Ylivieska,320,64.071898,24.540593
Yläkoski,867,62.644012,27.085998
Ylämylly,913,62.620557,29.564534
Yläjärvi,211,61.556526,23.58604
Ypykkävaara,940,64.479932,29.474923
Äetsä,174,61.296677,22.706473
Ähtäri,265,62.553265,24.064036
Ämmänsaari,394,64.887024,28.890466
Äänekoski,252,62.596862,25.747629
